row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,137_C.mzML Peak area,RSZ_C.mzML Peak area,
124,741.3915436645457,5.894615,,,,12,,,,,,,5288374.5,0,
125,755.391317876452,5.894615,,,,12,,,,,,,1891793.5,0,
126,882.4737003437203,5.894615,,,,12,,,,,,,8723362.0,0,
129,431.2295475922786,5.9388423,,,,12,,,,,,,3902646.2,0,
131,565.8005023616838,5.9388423,,,,12,,,,,,,3251838.0,0,
151,601.3341451523022,6.053708,,,,12,,,,,,,3766562.5,0,
135,388.73636484913914,5.9863605,,,,12,,,,,,,4391571.0,0,
138,509.2910977251432,5.9863605,,,,12,,,,,,,2463618.8,0,
140,659.3378980617629,5.9863605,,,,12,,,,,,,8899784.0,0,
141,751.3647276120257,5.9863605,,,,12,,,,,,,8380930.0,0,
145,395.74408828793446,6.031481,,,,12,,,,,,,3887729.0,0,
149,373.73094849982556,6.053708,,,,12,,,,,,,4220555.5,0,
153,712.4132597127273,6.053708,,,,12,,,,,,,6539971.0,0,
155,838.4440510709824,6.053708,,,,12,,,,,,,3212026.5,0,
147,587.3184684848927,6.031481,,,,12,,,,,,,2595437.0,0,
158,356.70985118529114,6.076312,,,,12,,,,,,,2036659.2,0,
160,380.73872945265543,6.076312,,,,12,,,,,,,2869805.2,0,
161,419.7255436106087,6.076312,,,,12,,,,,,,4214898.0,0,
163,513.7737714961487,6.076312,,,,12,,,,,,,2405240.0,0,
168,636.3383093308784,6.076312,,,,12,,,,,,,1.69502E7,0,
169,668.3599395710049,6.076312,,,,12,,,,,,,2035434.8,0,
170,473.27501348267526,6.07755,,,,,,,,,,,1.2707059E7,1413224.6,
173,461.28640310563526,6.1222763,,,,12,,,,,,,3424898.5,0,
174,689.4332647892988,6.1222763,,,,12,,,,,,,4.2396816E7,0,
177,229.15412749494743,6.144672,,,,12,,,,,,,4146573.0,0,
178,279.6729924365716,6.144672,,,,12,,,,,,,1457956.6,0,
180,340.7384686436814,6.144672,,,,12,,,,,,,9848870.0,0,
181,345.22035544375984,6.144672,,,,12,,,,,,,1.3038137E8,0,
184,518.168459785602,6.1483808,,,,12,,,,,,,0,686711.5,
186,363.2119517594494,6.1687393,,,,12,,,,,,,0,4384059.0,
188,680.4719841201309,6.189688,,,,12,,,,,,,1374108.2,0,
192,530.296485347781,6.21219,,,,14,1,[M+H]+,,2,192;195,529.28871,2.6835117E8,0,
195,552.2774317729347,6.21219,,,,14,1,[M+Na]+,,2,192;195,529.28871,2090873.1,0,
196,615.3345259210085,6.21219,,,,14,,,,,,,4631632.0,0,
198,622.3220933101725,6.2568316,,,,14,,,,,,,2168834.8,0,
199,569.2711137524595,6.2737613,,,,,,,,,,,0,1093669.1,
202,666.4169468055637,6.302575,,,,11,,,,,,,2374443.0,0,
203,354.7413573333971,6.325012,,,,,,,,,,,3760205.5,0,
204,747.3366711066508,6.325012,,,,11,,,,,,,978485.44,0,
205,392.2538005823512,6.334613,,,,,,,,,,,0,2061880.0,
206,439.2498120753508,6.347637,,,,19,,,,,,,6175120.5,0,
208,629.332122883632,6.347637,,,,,,,,,,,2153702.2,0,
211,357.7307524960637,6.3725495,,,,19,,,,,,,2227205.5,0,
212,380.738708707308,6.3725495,,,,19,,,,,,,3178408.0,0,
214,400.2438216892973,6.3725495,,,,19,,,,,,,7015633.0,0,
217,509.2917967491834,6.3725495,,,,19,,,,,,,3844143.0,0,
218,570.3317188505965,6.3725495,,,,19,,,,,,,1972419.5,0,
220,867.4594257130174,6.3725495,,,,19,,,,,,,1286200.4,0,
222,434.23343938848313,6.395137,,,,19,,,,,,,1186150.8,0,
226,680.4304597376976,6.395137,,,,19,,,,,,,1794544.5,0,
229,538.3593415274916,6.4174595,,,,19,,,,,,,5217580.5,0,
232,220.11913161965973,6.4621863,,,,19,,,,,,,1645823.8,0,
235,639.4068423778867,6.4621863,,,,19,,,,,,,8084279.0,0,
237,379.7075440412087,6.4846635,,,,19,,,,,,,5353199.5,0,
240,758.4071962166186,6.4846635,,,,19,,,,,,,1.0725505E7,0,
241,194.08096354571276,6.4882183,,,,17,,,,,,,0,1621525.5,
242,340.1384140688875,6.4882183,,,,17,,,,,,,0,1026682.6,
243,508.17823951349897,6.4882183,,,,17,,,,,,,0,1158405.5,
246,431.2297768439564,6.5072837,,,,13,,,,,,,833268.75,0,
247,518.1683655322122,6.5110803,,,,17,,,,,,,0,1407984.0,
244,247.14385750716318,6.5072837,,,,13,,,,,,,1832813.8,0,
253,501.25775158510186,6.5535336,,,,21,,,,,,,7798028.0,0,
254,512.2486046136223,6.5535336,,,,21,,,,,,,975063.0,0,
256,609.3962701210472,6.5535336,,,,21,,,,,,,5113245.5,0,
257,653.4223829680172,6.5535336,,,,21,,,,,,,6214427.5,0,
258,685.3659019975233,6.5535336,,,,21,,,,,,,7703010.5,0,
249,243.08741531260108,6.5535336,,,,21,,,,,,,1493415.2,0,
263,509.2235119968076,6.573984,,,,,,,,,,,0,1244058.0,
268,902.4602658760243,6.575469,,,,21,,,,,,,1985750.2,0,
